,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
1,1,Ambon,ID,2022-03-23 20:34:14,-3.6954,128.1814,79.36,81,100,12.73
3,3,Saldanha,ZA,2022-03-23 20:34:15,-33.0117,17.9442,68.05,88,31,18.61
8,8,Bambanglipuro,ID,2022-03-23 20:34:17,-7.95,110.2833,76.6,91,100,1.28
9,9,Paragominas,BR,2022-03-23 20:34:18,-2.9667,-47.4833,77.09,94,98,1.9
12,12,Galle,LK,2022-03-23 20:34:19,6.0367,80.217,79.95,78,37,7.54
14,14,Santo Antonio Do Ica,BR,2022-03-23 20:34:20,-3.1022,-67.9397,79.2,90,89,3.09
18,18,Atuona,PF,2022-03-23 20:34:21,-9.8,-139.0333,79.09,81,96,16.8
21,21,Kapaa,US,2022-03-23 20:34:23,22.0752,-159.319,77.32,78,75,16.11
26,26,Huarmey,PE,2022-03-23 20:34:25,-10.0681,-78.1522,74.5,74,33,11.79
27,27,Bredasdorp,ZA,2022-03-23 20:34:25,-34.5322,20.0403,69.26,77,84,4.14
29,29,Cuamba,MZ,2022-03-23 20:34:26,-14.8031,36.5372,67.6,97,2,2.64
30,30,Victoria Point,AU,2022-03-23 20:34:26,-27.5833,153.3,72.1,95,100,1.01
40,40,Isangel,VU,2022-03-23 20:34:30,-19.55,169.2667,79.27,85,100,4.03
44,44,Moree,AU,2022-03-23 20:34:32,-29.4667,149.85,71.62,68,47,11.5
46,46,Maamba,ZM,2022-03-23 20:34:32,-17.3667,27.15,67.39,85,7,3.76
47,47,Ixtapa,MX,2022-03-23 20:32:27,20.7,-105.2,78.03,41,0,10.36
48,48,Quelimane,MZ,2022-03-23 20:35:33,-17.8786,36.8883,78.75,83,20,3.44
51,51,Labuhan,ID,2022-03-23 20:35:34,-6.8844,112.2051,78.94,86,100,5.44
53,53,Tura,IN,2022-03-23 20:35:35,25.5198,90.2201,71.44,53,9,3.8
60,60,Antalaha,MG,2022-03-23 20:35:38,-14.9003,50.2788,75.81,91,24,6.04
61,61,Katobu,ID,2022-03-23 20:35:38,-4.9408,122.5276,74.23,95,83,2.26
62,62,Whitianga,NZ,2022-03-23 20:35:39,-36.8333,175.7,66.72,84,83,14.88
63,63,Lalmohan,BD,2022-03-23 20:35:39,22.3384,90.7419,78.75,86,14,11.1
64,64,Beira,MZ,2022-03-23 20:35:39,-19.8436,34.8389,77.09,88,20,5.75
70,70,Fallon,US,2022-03-23 20:30:50,39.4735,-118.7774,68.45,28,0,0.0
74,74,Hermanus,ZA,2022-03-23 20:35:43,-34.4187,19.2345,68.81,85,99,6.55
75,75,Jackson,US,2022-03-23 20:35:43,42.4165,-122.8345,73.15,51,0,4.0
79,79,Port Alfred,ZA,2022-03-23 20:35:35,-33.5906,26.891,73.51,75,100,8.97
81,81,Matara,LK,2022-03-23 20:35:45,5.9485,80.5353,77.2,85,11,6.42
87,87,Vaini,TO,2022-03-23 20:35:48,-21.2,-175.2,77.16,100,97,6.91
89,89,Hamilton,US,2022-03-23 20:33:50,39.1834,-84.5333,70.88,56,75,24.16
91,91,Alta Floresta,BR,2022-03-23 20:35:49,-9.8756,-56.0861,78.62,83,40,2.3
92,92,San Patricio,US,2022-03-23 20:35:50,28.017,-97.5169,75.29,21,0,6.96
93,93,Biak,ID,2022-03-23 20:35:50,-0.9131,122.8766,73.15,82,100,1.32
96,96,Lohardaga,IN,2022-03-23 20:36:51,23.4333,84.6833,71.35,12,17,4.5
